ListID,Treatment,IsTestData,IsReplacement,RandomizationSequence,ReplacementPatientID,CenterID,TreatmentID,Block,Cohort
1,PT00114,1,0,481,0,1,4,8,4
1,PT00114,1,0,482,0,1,4,8,4
1,PT00114,1,0,483,0,1,4,8,4
1,Placebo,1,0,484,0,1,6,8,4
1,Placebo,1,0,485,0,1,6,8,4
1,PT00114,1,0,590,0,1,5,9,5
1,PT00114,1,0,591,0,1,5,9,5
1,PT00114,1,0,592,0,1,5,9,5
1,PT00114,1,0,593,0,1,5,9,5
1,Placebo,1,0,594,0,1,6,9,5
1,Placebo,1,0,595,0,1,6,9,5
1,PT00114,1,0,600,0,1,5,10,5
1,PT00114,1,0,601,0,1,5,10,5
1,PT00114,1,0,602,0,1,5,10,5
1,Placebo,1,0,603,0,1,6,10,5
1,Placebo,1,0,604,0,1,6,10,5
1,PT00114,1,0,605,0,1,5,10,5
1,Placebo,1,1,210,0,1,6,11,1
1,PT00114,1,1,211,0,1,1,11,1
1,Placebo,1,1,212,0,1,6,11,1
1,PT00114,1,1,213,0,1,1,11,1
1,PT00114,1,1,214,0,1,1,11,1
1,PT00114,1,1,215,0,1,1,11,1
1,Placebo,1,1,220,0,1,6,12,1
1,PT00114,1,1,221,0,1,1,12,1
1,PT00114,1,1,222,0,1,1,12,1
1,PT00114,1,1,223,0,1,1,12,1
1,Placebo,1,1,224,0,1,6,12,1
1,PT00114,1,1,225,0,1,1,12,1
1,Placebo,1,1,330,0,1,6,13,2
1,PT00114,1,1,331,0,1,2,13,2
1,PT00114,1,1,332,0,1,2,13,2
1,Placebo,1,1,333,0,1,6,13,2
1,PT00114,1,1,334,0,1,2,13,2
1,PT00114,1,1,335,0,1,2,13,2
1,PT00114,1,1,340,0,1,2,14,2
1,Placebo,1,1,341,0,1,6,14,2
1,PT00114,1,1,342,0,1,2,14,2
1,PT00114,1,1,343,0,1,2,14,2
1,PT00114,1,1,344,0,1,2,14,2
1,Placebo,1,1,345,0,1,6,14,2
1,PT00114,1,1,450,0,1,3,15,3
1,Placebo,1,1,451,0,1,6,15,3
1,Placebo,1,1,452,0,1,6,15,3
1,PT00114,1,1,453,0,1,3,15,3
1,PT00114,1,1,454,0,1,3,15,3
1,PT00114,1,1,455,0,1,3,15,3
1,Placebo,1,1,460,0,1,6,16,3
1,PT00114,1,1,461,0,1,3,16,3
1,PT00114,1,1,462,0,1,3,16,3
1,Placebo,1,1,463,0,1,6,16,3
1,PT00114,1,1,464,0,1,3,16,3
1,PT00114,1,1,465,0,1,3,16,3
1,Placebo,1,1,570,0,1,6,17,4
1,PT00114,1,1,571,0,1,4,17,4
1,Placebo,1,1,572,0,1,6,17,4
1,PT00114,1,1,573,0,1,4,17,4
1,PT00114,1,1,574,0,1,4,17,4
1,PT00114,1,1,575,0,1,4,17,4
1,Placebo,1,1,580,0,1,6,18,4
1,PT00114,1,1,581,0,1,4,18,4
1,PT00114,1,1,582,0,1,4,18,4
1,PT00114,1,1,583,0,1,4,18,4
1,Placebo,1,1,584,0,1,6,18,4
1,PT00114,1,1,585,0,1,4,18,4
1,PT00114,1,1,690,0,1,5,19,5
1,PT00114,1,1,691,0,1,5,19,5
1,Placebo,1,1,692,0,1,6,19,5
1,PT00114,1,1,693,0,1,5,19,5
1,Placebo,1,1,694,0,1,6,19,5
1,PT00114,1,1,695,0,1,5,19,5
1,PT00114,1,1,700,0,1,5,20,5
1,Placebo,1,1,701,0,1,6,20,5
1,PT00114,1,1,702,0,1,5,20,5
1,Placebo,1,1,703,0,1,6,20,5
1,PT00114,1,1,704,0,1,5,20,5
1,PT00114,1,1,705,0,1,5,20,5
